Date,Price,Open,High,Low,Vol.,Change %
12/7/2023,17500,18250,18450,17300,46.67M,-4.37%
12/6/2023,18300,18250,18350,18050,24.85M,0.55%
12/5/2023,18200,18400,18700,18150,33.25M,0.28%
12/4/2023,18150,18050,18450,17950,32.39M,2.54%
12/1/2023,17700,17750,17950,17400,19.59M,0.00%
11/30/2023,17700,18100,18100,17700,25.53M,-2.21%
11/29/2023,18100,17500,18250,17500,35.23M,3.72%
11/28/2023,17450,17350,17450,16800,28.25M,0.58%
11/27/2023,17350,17650,18000,17350,22.74M,-1.42%
11/24/2023,17600,17400,17600,16750,47.25M,3.53%
11/23/2023,17000,17700,18300,17000,59.21M,-2.02%
11/22/2023,17350,16250,17350,16200,67.96M,6.77%
11/21/2023,16250,16500,16500,16150,14.40M,0.31%
11/20/2023,16200,15700,16350,15700,21.08M,0.62%
11/17/2023,16100,16750,16950,15850,35.81M,-3.88%
11/16/2023,16750,16200,16800,16100,29.92M,3.08%
11/15/2023,16250,16650,16750,16200,30.08M,0.93%
11/14/2023,16100,16050,16400,15800,28.89M,2.22%
11/13/2023,15750,15950,16300,15500,30.73M,-1.56%
11/10/2023,16000,16050,16950,15950,43.02M,-1.84%
11/9/2023,16300,15800,16550,15750,56.50M,5.16%
11/8/2023,15500,14500,15500,14400,44.70M,6.90%
11/7/2023,14500,14650,14850,14450,19.06M,-2.03%
11/6/2023,14800,14600,14900,14250,27.91M,1.72%
11/3/2023,14550,14900,14900,14350,31.46M,3.93%
11/2/2023,14000,13350,14000,13100,26.18M,6.87%
11/1/2023,13100,13000,13100,12600,11.27M,1.55%
10/31/2023,12900,13400,13600,12800,19.11M,-3.01%
10/30/2023,13300,13250,13800,12950,19.82M,0.00%
10/27/2023,13300,13100,13500,12150,25.64M,3.10%
10/26/2023,12900,13400,13600,12900,29.97M,-6.86%
10/25/2023,13850,13800,14250,13800,16.00M,1.47%
10/24/2023,13650,13500,13750,13300,9.40M,2.25%
10/23/2023,13350,13800,13950,13350,11.39M,-3.26%
10/20/2023,13800,13250,13800,13000,14.53M,4.55%
10/19/2023,13200,13200,13700,12800,15.59M,1.54%
10/18/2023,13000,13850,14000,12800,23.05M,-5.45%
10/17/2023,13750,14700,14750,13750,12.92M,-5.50%
10/16/2023,14550,14950,15300,14500,11.03M,-2.68%
10/13/2023,14950,14600,15000,14400,14.89M,0.67%
10/12/2023,14850,14600,15150,14600,20.33M,2.77%
10/11/2023,14450,14250,14450,14100,10.24M,1.76%
10/10/2023,14200,14500,14750,14200,15.79M,-1.05%
10/9/2023,14350,14000,14450,13900,14.25M,3.24%
10/6/2023,13900,13800,14000,13500,16.42M,0.72%
