Date,Price,Open,High,Low,Vol.,Change %
11/10/2023,36500,36500,37900,36450,3.80M,-0.68%
11/9/2023,36750,35000,37100,34550,7.68M,5.91%
11/8/2023,34700,32700,34700,32550,3.79M,6.12%
11/7/2023,32700,32800,33450,32600,1.03M,-1.80%
11/6/2023,33300,32450,33700,32050,1.58M,4.06%
11/3/2023,32000,33000,33000,31900,2.49M,-1.23%
11/2/2023,32400,31300,32400,31000,1.82M,6.93%
11/1/2023,30300,30500,30800,29200,1.60M,0.00%
10/31/2023,30300,32900,32900,30250,2.30M,-6.77%
10/30/2023,32500,33400,34000,32500,975.40K,-4.13%
10/27/2023,33900,33000,34250,31850,2.15M,3.35%
10/26/2023,32800,33450,33600,31900,3.34M,-4.37%
10/25/2023,34300,35000,35300,34300,1.42M,-2.56%
10/24/2023,35200,34000,35500,33800,2.36M,3.53%
10/23/2023,34000,33900,34250,33500,1.44M,0.44%
10/20/2023,33850,31650,33850,31300,1.86M,6.95%
10/19/2023,31650,32000,32550,31600,1.27M,-1.09%
10/18/2023,32000,32700,33100,31000,2.04M,-1.54%
10/17/2023,32500,34450,34650,32500,1.51M,-5.52%
10/16/2023,34400,34800,35500,34200,1.53M,-1.15%
10/13/2023,34800,33500,34800,33000,1.56M,2.96%
10/12/2023,33800,33800,34200,33500,1.35M,1.50%
10/11/2023,33300,33100,33400,32800,708.60K,0.30%
10/10/2023,33200,33900,34000,33200,940.50K,-0.90%
10/9/2023,33500,32150,33500,32150,1.12M,4.04%
10/6/2023,32200,32200,32900,31000,1.78M,0.16%
10/5/2023,32150,33800,33800,32100,1.49M,-3.31%
10/4/2023,33250,32100,33700,32000,818.40K,1.68%
10/3/2023,32700,34100,34500,32500,2.17M,-5.76%
10/2/2023,34700,35000,35400,34000,517.80K,-0.86%
09/29/2023,35000,36000,36000,35000,1.80M,-1.55%
09/28/2023,35550,34600,35650,33550,2.29M,2.75%
09/27/2023,34600,32700,34600,31900,2.11M,5.17%
09/26/2023,32900,33100,34100,32900,2.19M,-2.37%
09/25/2023,33700,36000,36600,33700,3.60M,-6.91%
09/22/2023,36200,37200,37500,36050,3.96M,-5.11%
09/21/2023,38150,38500,38950,37900,2.63M,-0.52%
09/20/2023,38350,36800,38600,36750,3.48M,4.92%
09/19/2023,36550,37200,37200,36400,1.20M,-1.08%
09/18/2023,36950,36300,37200,36050,1.55M,1.79%
09/15/2023,36300,36800,37100,36200,2.10M,-0.82%
09/14/2023,36600,37900,37900,36500,3.24M,-3.43%
