Date,Price,Open,High,Low,Vol.,Change %
09/28/2023,44500,45100,45500,44050,3.41M,-1.33%
09/27/2023,45100,45000,45800,43850,6.50M,0.22%
09/26/2023,45000,47000,47800,45000,4.07M,-4.26%
09/25/2023,47000,48000,48750,46000,5.32M,-2.08%
09/22/2023,48000,49400,49450,47850,7.96M,-4.38%
09/21/2023,50200,51000,51400,50000,5.19M,-0.99%
09/20/2023,50700,49700,50900,49500,4.52M,2.74%
09/19/2023,49350,50000,50700,49000,7.52M,0.82%
09/18/2023,48950,50100,50500,48700,5.10M,-3.07%
09/15/2023,50500,49600,50500,49400,10.52M,3.06%
09/14/2023,49000,52100,52300,49000,11.64M,-5.95%
09/13/2023,52100,53800,53800,52100,11.95M,-2.62%
9/12/2023,53500,52800,53500,52000,7.42M,1.90%
9/11/2023,52500,54600,54900,52500,8.47M,-2.78%
9/8/2023,54000,55000,55500,54000,10.43M,-2.00%
9/7/2023,55100,56500,56600,54900,8.73M,-1.43%
9/6/2023,55900,55500,57000,55400,9.77M,1.08%
9/5/2023,55300,55200,55500,54400,9.06M,1.10%
08/31/2023,54700,54800,55900,54700,6.42M,0.18%
08/30/2023,54600,54600,55100,54100,5.03M,0.00%
08/29/2023,54600,55000,55800,54400,5.31M,-0.18%
08/28/2023,54700,54500,55300,54200,5.22M,1.11%
08/25/2023,54100,55500,55500,54000,5.13M,-2.35%
08/24/2023,55400,54900,56100,54400,4.65M,1.65%
08/23/2023,54500,56900,56900,54400,6.68M,-1.80%
08/22/2023,55500,56800,56800,54500,4.57M,-0.89%
08/21/2023,56000,56800,57200,55700,5.23M,-1.41%
08/18/2023,56800,60800,60800,56800,8.98M,-6.89%
08/17/2023,61000,62100,62600,61000,5.44M,-3.02%
08/16/2023,62900,63000,64100,62300,6.37M,1.94%
08/15/2023,61700,61200,62500,60900,5.69M,0.82%
08/14/2023,61200,60900,61800,60800,6.22M,0.49%
8/11/2023,60900,62300,62500,59800,4.79M,0.50%
8/10/2023,60600,60700,61600,60600,4.74M,0.00%
8/9/2023,60600,62300,62700,60600,5.59M,-3.50%
8/8/2023,62800,62900,63800,62500,5.30M,-0.16%
8/7/2023,62900,63700,63700,61600,3.40M,-0.16%
8/4/2023,63000,60900,63800,60600,4.72M,4.83%
8/3/2023,60100,62000,62200,60100,2.94M,-2.91%
8/2/2023,61900,62600,62900,61900,3.44M,-1.43%
8/1/2023,62800,63900,66200,62800,6.55M,-0.32%
07/31/2023,63000,62200,63000,61000,5.51M,6.96%
07/28/2023,58900,57700,58900,57400,2.87M,2.43%
07/27/2023,57500,59000,59100,57500,2.72M,-2.54%
07/26/2023,59000,58300,59000,58300,3.08M,0.68%
07/25/2023,58600,58800,59200,58200,3.62M,-0.85%
07/24/2023,59100,59500,59500,58100,2.05M,0.17%
07/21/2023,59000,57500,59000,57300,3.60M,2.25%
07/20/2023,57700,58500,58500,57300,3.59M,-1.37%
07/19/2023,58500,58800,59000,58200,2.22M,-0.51%
07/18/2023,58800,58500,59400,58000,2.91M,-0.34%
07/17/2023,59000,56700,59000,56500,4.27M,4.61%
07/14/2023,56400,56500,56600,55800,2.05M,0.18%
07/13/2023,56300,55400,56300,55300,3.01M,2.18%
7/12/2023,55100,53900,55300,53900,2.19M,2.23%
7/11/2023,53900,53600,53900,53600,2.62M,0.19%
7/10/2023,53800,54100,54400,53600,2.15M,-0.37%
7/7/2023,54000,54500,54900,54000,1.22M,-0.92%
7/6/2023,54500,55300,55900,54500,1.41M,-2.85%
7/5/2023,56100,56500,56500,55300,1.62M,-0.71%
7/4/2023,56500,55900,56800,55500,1.45M,1.07%
7/3/2023,55900,55000,55900,55000,1.04M,1.64%
06/30/2023,55000,54800,55500,54300,1.46M,0.00%
06/29/2023,55000,55400,55400,54900,1.25M,-0.72%
06/28/2023,55400,56100,56200,55000,1.39M,-0.89%
06/27/2023,55900,55500,55900,55400,991.90K,0.72%
06/26/2023,55500,55600,55800,54800,1.42M,-0.89%
06/23/2023,56000,55200,56000,55100,2.16M,0.54%
06/22/2023,55700,55000,55700,54700,1.91M,2.01%
06/21/2023,54600,55000,55300,54300,2.37M,-0.91%
06/20/2023,55100,55000,55700,54500,984.30K,0.18%
06/19/2023,55000,56100,56100,54800,1.53M,-1.79%
06/16/2023,56000,56400,56900,55000,2.45M,-0.88%
06/15/2023,56500,57000,57900,55800,2.45M,-0.88%
06/14/2023,57000,56800,58200,56700,2.46M,0.53%
06/13/2023,56700,55200,56700,55100,2.37M,2.35%
6/12/2023,55400,55500,55500,54400,1.15M,-0.18%
6/9/2023,55500,55000,55800,54800,1.05M,0.18%
6/8/2023,55400,55300,56000,55100,2.33M,0.18%
6/7/2023,55300,55300,55700,54500,1.86M,0.55%
6/6/2023,55000,54400,55000,53900,1.36M,2.42%
